2021-04-25 15:13:03,402 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Sun Apr 25 15:13:03 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-25 15:13:13,662 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:13:16,023 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-25 15:13:17,055 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 15:13:17,547 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:dc54832abaff-34107-1619363597213-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:13:17,805 | INFO  | Listening for connections at: tcp://dc54832abaff:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:13:17,830 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:13:17,938 | INFO  | Listening for connections at: amqp://dc54832abaff:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:13:17,959 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:13:18,035 | INFO  | Listening for connections at: stomp://dc54832abaff:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:13:18,065 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:13:18,120 | INFO  | Listening for connections at: mqtt://dc54832abaff:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:13:18,146 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:13:20,013 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-04-25 15:13:20,533 | INFO  | Listening for connections at ws://dc54832abaff:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-04-25 15:13:20,540 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:13:20,549 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:dc54832abaff-34107-1619363597213-0:1) started | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:13:20,575 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:13:20,598 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /data/activemq/kahadb only has 54918 mb of usable space. - resetting to maximum available disk space: 54918 mb | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:13:25,424 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-04-25 15:13:28,101 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-25 15:13:28,102 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-25 15:13:28,359 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-04-25 15:13:29,688 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-04-25 15:13:29,928 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-04-25 15:15:11,445 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Sun Apr 25 15:15:11 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-25 15:15:20,477 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:15:21,853 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-25 15:15:22,744 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 15:15:23,159 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:7cd37b3ddb18-41079-1619363722894-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:15:23,398 | INFO  | Listening for connections at: tcp://7cd37b3ddb18:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:15:23,414 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:15:23,451 | INFO  | Listening for connections at: amqp://7cd37b3ddb18:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:15:23,484 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:15:23,554 | INFO  | Listening for connections at: stomp://7cd37b3ddb18:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:15:23,586 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:15:23,628 | INFO  | Listening for connections at: mqtt://7cd37b3ddb18:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:15:23,640 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:15:25,221 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-04-25 15:15:25,590 | INFO  | Listening for connections at ws://7cd37b3ddb18:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-04-25 15:15:25,593 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:15:25,611 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:7cd37b3ddb18-41079-1619363722894-0:1) started | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:15:25,629 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:15:25,636 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /data/activemq/kahadb only has 54917 mb of usable space. - resetting to maximum available disk space: 54917 mb | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:15:30,328 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-04-25 15:15:31,921 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-25 15:15:31,923 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-25 15:15:32,118 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-04-25 15:15:33,522 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-04-25 15:15:33,718 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-04-25 15:56:37,842 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Sun Apr 25 15:56:37 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-25 15:56:45,820 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
